time,open,high,low,close,Volume,Volume MA,Developing Poc,Developing VA High,Developing VA Low,Futures Open Interest,Crypto Open Interest (Ouverture),Crypto Open Interest (Haut,Crypto Open Interest (Bas),Crypto Open Interest (Fermeture)
1626062400,34429.99,34662.73,34150,34271.16,62056.538,67949.84995000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626076800,34271.16,34450,33517.61,33524.79,100882.418,68006.6206000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626091200,33524.78,33629.99,33301,33340.32,96110.854,69223.5011500001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626105600,33340.32,33433,32714.42,32828.59,112825.562,71233.58825000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626120000,32828.58,33290,32650,33070.87,73772.133,68543.12965000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626134400,33070.86,33224.03,32822.07,33065,55446.299,68690.39795000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626148800,33065.01,33336,32741.99,33159.99,77287.431,69482.94085000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626163200,33160,33329.84,32907.51,33032.23,62584.956,68886.59960000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626177600,33033.73,33044.39,32259,32781.41,137038.255,72607.26050000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626192000,32779.05,32957.44,32228,32306.71,80296.74,73557.36835000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626206400,32306.71,32750,32186.99,32709.09,53914.032,73619.35815000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626220800,32708.66,32800,31620,31808,103363.989,73622.70020000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626235200,31808.01,31998.97,31651,31910.38,75522.849,74605.38295000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626249600,31910.39,32700,31556.02,32440.37,131191.265,78810.19800000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626264000,32440.36,32945,32273,32772.97,99288.073,81463.2419000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626278400,32772.96,33176.47,32560,32717.98,71641.307,82031.74550000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626292800,32717.98,33046.23,32666.66,32803.01,40132.927,80990.89360000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626307200,32803,33170,32614.55,32619.72,62894.948,81797.03650000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626321600,32620.19,32675.06,32350.89,32461,67039.723,81019.52760000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626336000,32461,32620,31763.14,31866.95,114822.822,83905.65605000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626350400,31866.95,32130,31401.2,31673.4,129255.181,87265.58820000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626364800,31673.4,31776.5,31140,31513.98,112494.123,87846.17345000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626379200,31513.99,31876,31500,31866.43,52604.87,85670.87425000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626393600,31865.53,32042.81,31550,31897.05,60971.566,83078.17445000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626408000,31897.39,32000,31534.41,31768.61,58762.181,82327.67685000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626422400,31768.61,31772.98,31018.59,31080.62,99940.655,84552.39465000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626436800,31080.63,32187,31059.16,32105.81,152153.112,88295.67870000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626451200,32105.81,32245,31780,31898.02,86252.174,89479.03960000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626465600,31898.02,31976.11,31325,31382.95,58498.055,85552.0296000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626480000,31382.96,31633.41,31150.02,31301.37,85447.163,85809.55075000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626494400,31301.38,31572.53,31175.14,31497.05,50880.858,85657.8920500001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626508800,31497.06,31945,31225.63,31377.09,104183.191,85698.8521500001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626523200,31377.01,31750,31329,31737.92,82003.993,86022.9093500001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626537600,31737.87,31909.98,31522.16,31819,62288.607,82577.7764500001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626552000,31819.01,31876.07,31465,31496.65,37846.606,79505.7031000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626566400,31496.65,32435.93,31451,32155.46,97214.481,80784.3618000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626580800,32155.46,32182.84,31666,31705,58136.281,81684.52950000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626595200,31705,31850,31547.99,31782.01,58792.098,81479.38700000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626609600,31782.01,31838.2,31075.1,31349.07,89106.871,82582.7444000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626624000,31348.11,31750,31268.08,31626.34,48810.431,79282.12485000011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626638400,31626.33,31899.83,31401,31767,60129.239,75825.8277500001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626652800,31765.23,31833,31417.92,31525.72,51373.532,72769.7982000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626667200,31525.01,31890,31507.75,31595.92,59393.23,73109.2162000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626681600,31595.92,31659.44,31154,31262.16,92512.152,74686.24550000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626696000,31262.94,31365,30358.77,30672.99,194803.889,81488.33090000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626710400,30672.99,30839,30529,30734.99,49417.535,78962.17490000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626724800,30735,30960,30676.5,30823.62,38805.289,73294.78375000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626739200,30823.62,31050,29452.53,29582.94,169673.763,77465.86320000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626753600,29582.94,29910.69,29468.31,29797.81,87642.023,78923.06160000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626768000,29797.81,29868.2,29250,29673.33,105582.689,79929.83790000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626782400,29673.33,29978,29242.24,29860.11,132777.378,84024.66390000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626796800,29860.12,29950,29573.94,29754.88,50714.493,81351.22900000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626811200,29754.88,29955,29480.12,29775.9,56297.844,80065.92155000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626825600,29775.89,29882,29472.41,29818.53,65017.523,80202.36735000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626840000,29818.54,30933.19,29808,30797.85,145044.744,85562.27425000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626854400,30797.85,31646.15,30700,31500,120274.812,86715.29080000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626868800,31500,31949,31410.68,31904.38,122748.62,89945.90775000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626883200,31904.43,32883.9,31560,31618.46,262023.844,100107.49505000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626897600,31618.46,32232.46,31502.12,32120,71967.847,99250.54385000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626912000,32120,32350,31760,31915,63270.748,99973.55970000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626926400,31914.99,32297.61,31852,32115.11,60061.33,99970.16425000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626940800,32115.11,32240,31700,31886.59,80915.972,101447.28625000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626955200,31886.58,32583.48,31730,32482.65,100393.997,103497.32460000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626969600,32481.84,32574.51,32206,32348.11,53495.733,101546.50365000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626984000,32348.11,32473,32050,32268.11,39121.156,93762.36700000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626998400,32268.12,32800,32182.32,32570.79,66198.952,94601.43785000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627012800,32569.99,32930,32350,32478.19,63153.913,95818.86905000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627027200,32478.19,32520.44,32200,32287.6,55390.659,90104.71385000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627041600,32287.61,32599.98,32221.22,32305.83,47363.541,88090.78975000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627056000,32305.9,32324.93,31970.82,32221.12,63105.877,85966.94915000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627070400,32221.13,33650,32178.56,33634.46,109437.074,84799.93395000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627084800,33631.74,33790,33379.81,33647.97,67963.173,85662.36795000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627099200,33647.97,33930.52,33550.5,33793.83,56703.261,85682.63880000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627113600,33793.83,34100,33526,33855.37,68369.545,85850.23990000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627128000,33855.37,34038.72,33710,33831.17,43537.704,80774.88790000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627142400,33831.16,34471,33688.35,33828.05,93471.161,79434.70535000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627156800,33828.04,34263.36,33660,34230,46001.184,75597.33355000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627171200,34230,34400,33812,34150,55110.748,65251.678750000065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627185600,34149.99,34768.53,34050,34672.76,69178.262,65112.19950000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627200000,34672.76,34780,34250.01,34366.63,59716.905,64934.50735000007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627214400,34366.62,34399.75,33853,34152.77,83648.151,66113.84840000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627228800,34152.77,34584.4,34063.14,34312.9,60355.117,65085.805650000075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627243200,34312.89,35400,34260,35370.66,76112.568,63871.73420000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627257600,35370.67,48168.6,35185.49,38276.54,339569.934,78175.44425000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627272000,38276.53,39284.65,37778,38157.02,137505.915,83094.68220000008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627286400,38159.99,38750,37666,38468.05,92767.654,84423.11730000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627300800,38468.05,38882.89,37900,38537,113647.274,86947.7853500001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627315200,38536.93,40578.93,38475,39358.4,210887.68,94722.63640000009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627329600,39358.4,39521.95,36700,37218.09,267957.913,105752.3550000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627344000,37218.09,37500,36384.31,36819.12,120047.099,108599.4161000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627358400,36819.12,37319.71,36669.12,37103.66,77802.052,107017.66500000011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627372800,37103.67,38069.94,36958.87,38030,84401.242,107839.56845000011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627387200,38027.32,38748.53,37670,38203.37,186720.479,114340.42935000011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
